code_postal,ville,nb_immeubles_cibles,total_lots_cibles,score_moyen_cibles
80120,FORT-MAHON-PLAGE,21,572,0.73
13200,ARLES,26,571,0.66
34350,VALRAS-PLAGE,23,568,0.73
14123,IFS,11,566,0.71
68260,KINGERSHEIM,14,565,0.68
91170,VIRY-CHÂTILLON,6,564,0.68
13500,MARTIGUES,21,563,0.75
85160,SAINT-JEAN-DE-MONTS,33,563,0.72
66650,BANYULS-SUR-MER,11,561,0.68
95160,MONTMORENCY,21,561,0.65
21200,BEAUNE,19,561,0.72
78280,GUYANCOURT,8,560,0.7
62780,CUCQ,23,558,0.69
33170,GRADIGNAN,7,557,0.69
47300,VILLENEUVE-SUR-LOT,21,556,0.68
97200,FORT-DE-FRANCE,15,553,0.7
13800,ISTRES,19,550,0.7
57970,YUTZ,22,549,0.73
35136,SAINT-JACQUES-DE-LA-LANDE,9,547,0.72
77340,PONTAULT-COMBAULT,37,545,0.7
76200,DIEPPE,20,544,0.64
67700,SAVERNE,20,543,0.72
84300,CAVAILLON,23,543,0.7
13260,CASSIS,16,542,0.63
45140,SAINT-JEAN-DE-LA-RUELLE,10,541,0.68
78380,BOUGIVAL,4,539,0.69
74410,SAINT-JORIOZ,16,536,0.69
73440,LES BELLEVILLE,11,535,0.7
56170,QUIBERON,21,535,0.76
93340,LE RAINCY,17,534,0.65
5560,VARS,6,533,0.72
97430,LE TAMPON,14,532,0.62
93290,TREMBLAY-EN-FRANCE,21,531,0.74
74800,LA ROCHE-SUR-FORON,19,531,0.72
74300,THYEZ,12,530,0.69
54520,LAXOU,20,529,0.68
75009,PARIS 9ÈME ARRONDISSEMENT,14,528,0.64
83170,BRIGNOLES,10,527,0.77
83250,LA LONDE-LES-MAURES,12,524,0.75
34110,FRONTIGNAN,11,523,0.78
92240,MALAKOFF,21,522,0.65
59120,LOOS,12,522,0.7
37170,CHAMBRAY-LČS-TOURS,6,522,0.66
13960,SAUSSET-LES-PINS,14,521,0.72
59290,WASQUEHAL,10,518,0.74
6100,NICE,11,517,0.7
13140,MIRAMAS,10,517,0.76
13290,AIX-EN-PROVENCE,8,517,0.78
74140,DOUVAINE,10,517,0.78
93330,NEUILLY-SUR-MARNE,12,514,0.71
78220,VIROFLAY,18,514,0.71
85300,CHALLANS,18,512,0.74
80090,AMIENS,6,510,0.67
77144,MONTÉVRAIN,5,507,0.68
73620,HAUTELUCE,10,507,0.65
33600,PESSAC,22,507,0.65
63240,MONT-DORE,8,506,0.78
81000,ALBI,26,505,0.7
85800,SAINT-GILLES-CROIX-DE-VIE,21,503,0.74
30100,ALČS,21,503,0.73
42700,FIRMINY,21,503,0.7
77270,VILLEPARISIS,22,503,0.74
66100,PERPIGNAN,37,502,0.64
97410,SAINT-PIERRE,8,502,0.67
