code_postal,ville,adresse,lat,long,lots_habitation,score_immeuble
22590,Pordic,1 r louis massignon 22590 Pordic,48.571618,-2.8183,28,0.75
62000,ARRAS,7 r beaumarchais 62000 ARRAS,50.287505,2.788613,28,0.82
84000,AVIGNON,3B r saint-joseph 84000 AVIGNON,43.952747,4.81275,28,0.57
73000,BARBERAZ,3B r de la maconne 73000 BARBERAZ,45.562739,5.944782,28,0.68
13010,Marseille,5 av du corps expeditionnaire francais 13010 Marseille,43.279004,5.440786,28,0.86
45000,Orléans,6T r croix de bois 45000 Orléans,47.899775,1.898832,28,0.68
69006,Lyon,27 r du lieutenant colonel prevost 69006 Lyon,45.773594,4.845555,28,0.86
44600,Saint-Nazaire,19 r gaspard monge 44600 Saint-Nazaire,47.269711,-2.236877,28,0.75
69500,Bron,204 av franklin roosevelt 69500 Bron,45.731738,4.913706,28,0.57
75019,Paris,10 r rampal 75019 Paris,48.873639,2.379848,28,0.86
38100,GRENOBLE,2 r le brix 38100 GRENOBLE,45.178744,5.72357,28,0.68
93800,Épinay-sur-Seine,51 av gallieni 93800 Épinay-sur-Seine,48.962984,2.297011,28,0.79
30650,ROCHEFORT DU GARD,991 che de vaujus 30650 ROCHEFORT DU GARD,43.967285,4.675593,28,0.64
74100,Annemasse,7 pas jean moulin 74100 Annemasse,46.192373,6.233496,28,0.61
44510,Le Pouliguen,35 av de kerdun 44510 Le Pouliguen,47.270384,-2.430335,28,0.79
21000,Dijon,63B bd pascal 21000 Dijon,47.338866,5.048647,28,0.79
62200,Boulogne-sur-Mer,54 r de wicardenne 62200 Boulogne-sur-Mer,50.728317,1.620453,28,0.89
85000,LA ROCHE SUR YON,22 bd des belges 85000 LA ROCHE SUR YON,46.672873,-1.418837,28,0.89
84300,CAVAILLON,60 r de bruxelles 84300 CAVAILLON,43.839995,5.054727,28,0.75
92110,Clichy,36 r villeneuve 92110 Clichy,48.904882,2.309009,28,0.86
58000,NEVERS,4 Place des Reines de Pologne 58000 Nevers,46.988288,3.159758,28,0.57
45160,Olivet,48 r des pies 45160 Olivet,47.874756,1.902872,28,0.79
75006,PARIS,132 bd saint-germain 75006 PARIS,48.852531,2.3391,28,0.89
74930,Reignier-Ésery,131-133 r de bersat 74930 Reignier-Ésery,46.132281,6.269397,28,0.75
13100,AIX EN PROVENCE,85 Avenue  Jean et Marcel Fontenaille 13100 Aix-en-Provence,43.534721,5.467573,28,0.5
49000,Angers,13-15 r de bamako 49000 Angers,47.451823,-0.557397,28,0.89
94420,Le Plessis-Trévise,11 av therese 94420 Le Plessis-Trévise,48.809939,2.575337,28,0.86
83300,Draguignan,185 bd des remparts 83300 Draguignan,43.539845,6.468961,28,0.86
38920,Crolles,185 r abbe pierre 38920 Crolles,45.281917,5.880489,28,0.68
13800,ISTRES,Rue Pescari 13800 Istres,43.511398,4.983684,28,0.57
10000,Troyes,47 Av Major General Georges Vanier 10000 Troyes,48.304213,4.072213,28,0.71
62152,Neufchâtel-Hardelot,Avenue Winston Churchill 62152 Neufchâtel-Hardelot,50.630003,1.57766,28,0.82
93400,Saint-Ouen-sur-Seine,Avenue Pablo Picasso 93400 Saint-Ouen-sur-Seine,48.909576,2.327917,28,0.68
29270,Carhaix-Plouguer,3 r oberhausen 29270 Carhaix-Plouguer,48.277711,-3.574363,28,0.5
33150,CENON,1 Rue Jules Guesde 33150 Cenon,44.855762,-0.536257,28,0.71
97400,Saint-Denis,2 r leon dierx 97400 Saint-Denis,-20.889164,55.457435,28,0.61
94230,Cachan,51 av paul vaillant-couturier 94230 Cachan,48.790502,2.320816,28,0.82
67400,Illkirch-Graffenstaden,1 crs de l illiade 67400 Illkirch-Graffenstaden,48.527415,7.707725,28,0.64
78230,Le Pecq,18 r du president wilson 78230 Le Pecq,48.895119,2.112031,28,0.82
93000,Bobigny,2 sen claude levi-strauss 93000 Bobigny,48.90278,2.445262,28,0.89
30900,NIMES,1 Rue Sainte-Marguerite 30900 Nîmes,43.837014,4.353937,28,0.5
57600,FORBACH,12 all des chenes 57600 FORBACH,49.19812,6.873953,28,0.5
93140,BONDY,103 Avenue Carnot 93140 Bondy,48.897714,2.480581,28,0.64
75013,PARIS,128 Boulevard Auguste Blanqui 75013 PARIS,48.831907,2.341995,28,0.68
12000,Rodez,38 r raynal 12000 Rodez,44.354464,2.569975,28,0.79
56340,CARNAC,9 Chemin des Salicornes 56340 Carnac,47.575081,-3.055309,28,0.75
83200,Toulon,207 bd louis picon 83200 Toulon,43.131099,5.913925,28,0.86
74700,SALLANCHES,41 Rue des Allobroges 74700 Sallanches,45.934655,6.632761,28,0.79
83150,Bandol,160 r charles gounod 83150 Bandol,43.139038,5.756326,28,0.54
31500,TOULOUSE,90 Rue de Limayrac 31500 Toulouse,43.592819,1.475034,28,0.82
