nom_syndic,nb_immeubles_cibles,total_places_parking
SARL CALMON BIENVENU ,4,149
SARL BARRA-NACERI ,4,207
SARL 2S2J ,4,204
SARL ADVISORING IMMOBILIER ,4,299
CABINET GODEST IMMOBILIER ,4,169
ESCALADA IMMOBILIER ,4,227
ESPACE CARNOT GESTION ,4,131
ESPACIL HABITAT ,4,49
ETHICA GESTION ET ADMINISTRATION DE BIENS ,4,151
SARL TISSOT ,4,116
SAS OPTIM IMMOBILIER ,4,285
AGENCE ESNAULT IMMOBILIERE ,4,93
ELIMMO GESTION ,4,330
CABINET LAURIN R S A ,4,253
CABINET JOURNE ,4,156
MADIN'IMMO ,4,192
AURILLAC GESTION IMMOBILIERE ,4,114
AURORE DION - THIERRY SELOSSE GESTION IMMOBILIERE ,4,109
AULNAY GESTIMMO ,4,306
SERENITE CONSEIL IMMOBILIER ,4,148
SGI G GICQUEL ,4,187
SEMAPHORE IMMOBILIER ,4,534
EDW SERVICES IMMOBILIERS ,4,147
DUNOGUE*GAFFIE/BEATRICE/ ,4,158
DS IMMO ,4,467
SCORSIM GESTION ,4,148
AGENCE CENTRALE LOCATION ,4,129
DIFFUSION IMMOBILIER ,4,151
CABINET MAHAUT MATHEY ,4,45
SKINAZI*FREDERIC/ ,4,71
SHL CONSEIL & GESTION ,4,75
SOC TRANSACTION ET GESTION IMMOBILIERE ,4,181
CABINET LESCALLIER ,4,195
CABINET LOUIS ,4,118
CABINET LECOMTE LAVAL ,4,149
DAUMESNIL GESTION ,4,158
DAVENNE ,4,74
SOC ECONOMIE MIXTE IMMOBILIERE DE VELIZY ,4,757
SOC COOP PRODUCTION HLM LOGICOOP ,4,114
AGENCE DE LA GARE ,4,118
M IMMOBILIER ,4,183
M&L IMMOBILIER ,4,72
M.M.G. ,4,103
LOZER GESTION CREDIT SOLOGEC ,4,120
ARTCOP ,4,168
ARTESIA GESTION ,4,200
L'AUTRE CHEMIN IMMOBILIER ,4,143
AXE 24 ,4,156
L IMMOBILIERE DE TOURAINE ,4,104
L IMMOBILIERE PAUVERT ,4,116
AVENIR IMMOBILIER 52 ,4,77
SOCIETE DE TRANSACTIONS IMMOBILIERES ,4,122
SOCIETE DEFFORGE IMMOBILIER ,4,263
CUSSONNEAU*MAUMEJEAN/DOMINIQUE/ ,4,306
CABINET MOULIN DES PRES ,4,192
AGENCE 44-45 ,4,253
AGENCE 71 ,4,136
SOCIETE DE COMMERCIALISATION ET D ETUDE DE RUEIL MALMAISON - TERCEM ,4,102
SPARN' IMMO ,4,181
SPH IMMOBILIER ,4,147
SOGEPA ,4,108
CABINET MERMET ,4,77
CABINET MILLIER ,4,319
CABINET MERLE ,4,84
COPROGEST LOCAGEST ,4,257
SOCIETE IMMOBILIERE ICG ,4,127
SUD EST IMMO ,4,81
SQUARE HABITAT DIJON ,4,207
AE2C IMMOBILIER ,4,124
CONTACT IMMOBILIER GESTION ,4,79
CONVERGENCE IMMOBILIER ,4,779
COGIM ,4,188
COFIMMO ,4,150
COGERIM - S.G.P.J. ,4,166
SORIN IMMOBILIER ,4,84
AQUITANIS OFFICE PUBLIC DE L'HABITAT DE BORDEAUX METROPOLE ,4,493
LOCAIM ,4,89
LOCAGO ,4,114
LINCOLN FRANCOIS 1 ,4,553
LA TRIBUNE GESTION ,4,81
ASTE IMMOBILIER ,4,138
LA PROTECT IMMOB INDUST COMM98 ,4,199
LA REGIE DU MONT BLANC ,4,184
LA REGIE DU MOULIN ,4,68
LA CROIX MALO ,4,307
LA CLE D'ARC FRANCE ,4,63
SYNDIC'ACTIF ,4,131
SYNDIC42 ,4,149
SYNDIC AZUR ,4,221
SYND'IMMO.GEST ,4,285
SULLY GESTION ,4,189
SUPERGESTES ,4,167
SUSJEIMMO ,4,84
CABINET R. CISNAL ,4,126
SRJAC GESTION ,4,77
STE SOGIC ,4,120
STEA FIT ,4,399
TCGI ,4,129
SYNDILOC 2B ,4,453
CITYA RICHERD IMMOBILIER ,4,188
CARAIBES GERANCE DIRECT ,4,178
CARCY FILS ,4,91
CARACAS IMMOBILIER ,4,39
CABINET YANN FAURE ANNECY ,4,121
ACL IMMO ,4,113
ACTIF BILAN RESSOURCES IMMOBILIER ,4,118
TRANSACTION SYNDIC GESTION IMMOBILIERE ,4,288
TRIARC IMMOBILIER ,4,101
ADB 28 ,4,54
CABINET VERREY ,4,371
CENTENNIAL GESTION ,4,361
CAUX PROPRIETES ,4,76
LES 3 AGENCES BY THIERRY GACHON ,4,298
LE VRAI SYNDIC ,4,182
LEGIS IMMO ,4,233
LE TERROIR ,4,281
LE TRAIT D'UNION ,4,68
LE FICHIER DE LA CONSTRUCTION ,4,177
LAPLACE 2 L'IMMOBILIER ,4,316
ATOUT GESTION ,4,129
42BIS IMMO ,4,139
A.S.I ,4,83
VILLENEUVE SERVICES GESTION ,4,246
2LL GESTION ,4,142
2J IMMO ,4,50
123 IMMOBILIA ,4,195
WARREN & ASSOCIES ,3,99
CENTURY 21 CABINET FAIVRE SARL ,3,147
CENTRE IMMOBILIER TOULOUSAIN ,3,88
ACCENT IMMOBILIER ,3,82
ABCD IMMO TOULOUSE ,3,43
CHARLES GASCHIGNARD ,3,71
CHARLES QUINT IMMOBILIER ,3,103
CHASTAGNOL IMMOBILIER ,3,170
THIERRY IMMOBILIER MAINE ANJOU ,3,280
TRAGESTIM (TRANSACTION GESTION IMMOBILIERE) ,3,207
AB2J GESTION ,3,88
TROUVERIE IMMOBILIER ,3,77
CABINET CAIRO ,3,227
FOREST GESTION ,3,146
FOYER CONSEIL IMMOBILIER ,3,49
G & L DURIEZ ,3,161
G2G - GROUPE IMMOBILIER ,3,198
CABINET D EXPERTISE AUBREE ,3,57
CABINET D'IMMOBILIER FRANCILIEN ,3,265
SA DE CONSTRUCTION DE LA VILLE DE LYON ,3,441
AGENCE LE SARRAIL ,3,90
AGENCE LOZERE GESTION ,3,45
REGIONALE DE TRANSACTIONS IMMOBILIERES ,3,353
REMI SERAIS ET FILS ,3,59
RENAISSANCE IMMOBILIER ,3,36
REPUBLIQUE IMMOBILIER ,3,88
REGIE RENARD ,3,57
JV CONSEIL PATRIMOINE RETRAITE ,3,71
LORETO IMMOBILIER ,3,80
LOUBAT IMMOBILIER ,3,219
LO-GERIM ,3,75
ASSISTANCE ET GESTION IMMOBILIERE SYNDIC-AGIS ,3,106
LEX IMMO 07 ,3,71
LILLE IMMO SYNDIC ,3,51
LOGEPARGNE ,3,445
ARAVIS INTERNATIONAL ADB ,3,92
LIMA DS GESTION ,3,49
CITYA MANDELIEU ,3,152
CABINET PASSET ,3,99
SYNDICITY ,3,80
SARL 2LBP IMMO ,3,117
FOLCO IMMOBILIER ,3,87
AGENCE IMMO CONSEIL ,3,119
AGENCE IMMOBILIERE DE SEVRES ,3,95
SAINT QUENTIN GESTION PM ,3,107
SARL AGENCE BARTHELET ,3,53
CABINET G.MAUDUIT ,3,149
CABINET GEORGES SABOT ,3,75
REGIE D'IMMEUBLES BEAUFARON ,3,68
GB IMMOBILIER ,3,121
GESTION IMMOBILIERE DU MIDI ,3,134
GESTION IMMOBILIERE MARTIN ,3,110
GESTION POUR LA PROPRIETE PROVENCE COTE D'AZUR - S.G.P.P. ,3,618
AGENCE SAINTE MARTHE ,3,87
SARL CABINET DENIS HAZZAN ,3,107
SARL GESTION IMMOBILIERE CENTRALISEE ,3,71
GESTION ET PATRIMOINE DE LA DOMBES ,3,64
CLAPAS IMMOBILIER ,3,91
CLAUDE GESTION IMMOBILIERE ,3,54
CLB GESTION ,3,343
JL IMMO ,3,166
SYNDIC IMMOSTORE ,3,90
CABINET ROUCAYROL IMMOBILIER ,3,123
SUD IMMO ,3,175
SYND AIR ,3,111
SYNDIC ADMINISTRATION DE BIENS IMMOBILIERS ,3,167
SYNDIC DE LA BAIE ,3,110
CABINET SYNGESTONE ,3,326
SYNDIC DU COLOMBIER ,3,81
SYNDIC IMMO DISCOUNT ,3,41
LTS AGENCE IMMOBILIERE ,3,109
ASE IMMO ,3,50
CABINET GRAMMATICO ,3,485
CABINET GRILLAT ,3,46
CABINET GUY ET BERNARD IMMOBILIER S.A. ,3,233
CABINET HAK ,3,241
AGENCE PIGASSOU ,3,588
GIF GESTION & COPROPRIETE ,3,40
GIOP GESTION IMMOBILIERE DE L'OUEST PARISIEN ,3,28
FAGOT IMMOBILIER ,3,113
FENIXHOME ,3,210
CABINET HOCHE ,3,129
GRANIE IMMOBILIER SYNDIC ,3,112
C & E IMMOBILIER ,3,86
GOUDARD PATOT ,3,39
SARL IMMOLYS 212 ,3,78
CABINET BAP ,3,130
GESTION IMMO DAUBEZE ROULLAND ,3,87
CABINET PHILIPPE CROITORU ,3,103
ADRESS'IMMO ,3,86
AEC GESTION ,3,122
CABINET PONS NOUVELLE GESTION IMMOBILIERE ,3,112
CABINET REGY ,3,122
CABINET RICHARD IMMOBILIER ,3,122
MARTINOT IMMOBILIER SENS ,3,138
AUVERGNE HABITAT ,3,161
M.R.C. ,3,214
JP2L ,3,142
JULIE VALLAGNOSC IMMOBILIER ,3,58
ETUDE CONSEIL COMMERCIALISATION ,3,73
SARL LITAS ,3,47
FIDELIS IMMOBILIER ,3,408
CABINET GIRARD IMMOBILIER ,3,113
SARL SIGNATURE EN LAURAGAIS ,3,111
ESPACE IMMOBILIER ,3,139
CAB G.T.I. GESTION & TRANSACTION IMMOB ,3,578
GRETZ PRESTIG'IMMO ,3,195
PROJET IMMOBILIER ,3,179
C.R.N IMMOBILIER ,3,165
SAS KEYS IMMO ,3,111
SAS LE PARTENARIAT IMMOBILIER GESTION & SYNDIC ,3,139
PYREN'IMMO ,3,77
REACT GESTION ,3,115
SORINI IMMOBILIER ,3,115
CABINET MELLIER MICHAS ,3,176
CABINET MOLLEVI ,3,46
CABINET MORGAND ET CIE ,3,97
CONCA D ORU IMMOBILIER ,3,153
CONCEPT IMMO ,3,77
COGEIM ,3,165
SOPRIM ,3,113
MERMOZ ,3,53
MAZET ENGERAND ET GARDY ,3,81
MC IMMOBILIER ,3,174
ADMINISTRATION IMMOBILIERE ALLIANCE ,3,128
ADMINISTRATION IMMOBILIERE SAVOYARDE ,3,164
AGENCE DES CORDELIERS ,3,68
AGENCE DES QUATRE CANTONS ,3,295
AGENCE DONIBANE ,3,106
AGENCE DU CAGIRE - PICOT & CIE ,3,59
SAS EUROVACANCES ,3,238
CABINET LA PAGERIE ,3,73
EMS IMMOBILIER ,3,85
ENSEMBLE IMMOBILIER ,3,97
AGENCE DU GOLF ,3,187
PICPUS IMMOBILIER ,3,62
PIERRES DE PARIS SYNDIC ,3,105
AIR IMMOBILIER ,3,175
AJC IMMOBILIER ROCHEFORT ,3,113
SCP DOUHAIRE - AVAZERI - BONETTO ,3,135
ERINHOA ,3,366
EFFICIMM ,3,120
SELARL GE7V ,3,38
"SELARL CARDON & BORTOLUS, ADMINISTRATEURS JUDICIAIRES ",3,229
DROME AMENAGEMENT HABITAT ,3,28
DZELEBDZIC*CHRISTOPHE/ ,3,74
ORNANO IMMOBILIER ,3,224
BRETAGNE PROPRIETES SERVICES ,3,97
BSM IMMOBILIER ,3,65
I GESTION ,3,160
E3L & MAJ ,3,92
HL GESTION ,3,83
PAC SYNDIC ,3,130
H ET F GESTION ,3,74
SOCIETE LAPOSTOLLE SARL ,3,129
SOCIETE MESSINE DE GESTION IMMOBILIERE ,3,48
D.F.T ,3,122
SOCIETE R MICHOU ET CIE ,3,260
COOWMA ,3,162
ANDRE GRIFFATON S A ,3,267
MGK ,3,38
COPROSUD ,3,46
CORSE IMMOBILIER SYNDIC GETION TRANSACTION ,3,192
IMMOLYS 25 ,3,52
MIL'IMMO LA REGIE MILIANTI ,3,121
SERVIMMO ,3,102
SERVIMO COTE D'OPALE ,3,264
HERA IMMOBILIER SARL ,3,108
HEUZE IMMOBILIER ,3,94
CABINET MABILLE ,3,291
CABINET MAHAUT GIRARD ,3,64
CABINET MAS ROCHER ,3,70
SIA HABITAT ,3,130
AGENCE CASTRAISE ,3,183
IDEAL SERVICES IMMOBILIERS ,3,124
IMMEA ,3,79
IMMIUM RIVE GAUCHE ,3,115
OPTIMA ,3,76
AGENCE CEGIMMO ,3,137
BONNET SA ,3,327
BR COPROPRIETE ,3,72
IMMO EXPRESS ,3,56
OPTIMMO GESTION ,3,306
CROSSARD & BEREC ,3,263
CABINET NATHALIE CREVECOEUR IMMOBILIER ,3,68
CABINET O.TRAVERSO ,3,245
CABINET PARIS-BARRE ,3,58
MY SYNDIC ,3,49
MONGEST 0 IMMOBILIER ,3,68
CPH IMMOBILIER ,3,239
IMMOBILIERE DU CHATEAU - GESTION - LOCATION - SYNDIC ,3,46
MOTTY IMMOBILIER ,3,62
MSMG SYNDIC ,3,43
SOCIETE DE GESTION IMMOBILIERE DE MENTON ,3,312
IMMOBILIERE DU MUSEE ,3,71
SOC GESTION IMMO J ET M PLAISANT ,3,152
DAPIA IMMOBILIER ,3,74
AGENCE DE GESTION DES COPROPRIETES ,3,224
DEBERNE ADMINISTRATEUR DE BIENS ,3,134
SOC ADMINISTRAT CO PROPR GERANCE IMMEUBL ,3,160
ALIENA ,3,110
ALLIANCE IMMOBILIERE 81 ,3,124
ALPHA GEST ,3,78
IMMOBILIER SERVICE ,3,56
NEO SYNDIC ,3,44
NEOLIA ,3,87
BOGAERT GESTION ,3,116
IMMO.CONSEIL ,3,98
O'REAL (SOLUTIONS IMMOBILIERES) ,3,205
BLERIOT ET ASSOCIES ADMINISTRATEUR JUDICIAIRE ,3,537
BLUE COAST IMMOBILIER ,3,51
BLUE SYNDIC ,3,64
SOCIETE CABINET BERENGER ,3,90
SOC IMMOBILIERE GESTION ,3,142
CITY-NEO ,3,367
CARNOUX IMMOBILIER ,3,107
VASSEUR*DAVID/ ,3,45
VAL ANDRE IMMOBILIER ,3,150
AAOC SYNDIC ,3,62
TULIER POLGE - ALIREZAI ,3,122
RESPIR'IMMO ,3,52
REVOLUTION SYNDIC ,3,247
FONCIA MANAGO ,3,111
A.D.B. IMMOBILIER ,3,91
FRANCE AGENCE 17 ,3,78
FRANCE GUADELOUPE DE COPROPRIETE ET D'EXPERTISE ,3,197
FORCE 3 IMMOBILIER ,3,113
CB 2 I ,3,265
CAPUANO IMMOBILIER ,3,119
CITYA IMMOBILIER ,3,432
CITYA IMMOBILIER NEVERS ,3,220
CITYA LA ROUVIERE ,3,1015
TERRA NOVA IMMOBILIER ,3,187
LE PIED A TERRE ,3,68
LEGROS IMMOBILIER ,3,241
ATHOS IMMOBILIER ,3,135
AUBUISSON IMMOBILIER ,3,65
CASTEELE S A R L ,3,67
CABINET VIVIENNE ,3,49
LES 3B SYNDIC ,3,285
ACTIVE COPRO ,3,225
ADB GESTION ,3,85
CD GESTION ,3,83
WELO ,2,81
ACTIS OPH DE LA REGION GRENOBLOISE ,2,78
ACTIV IMMO ,2,34
ADB 972 IMMOBILIER ,2,72
CITYA CAGIL ,2,72
CITYA DIEPPE ,2,81
LA MAISON BLEUE IMMOBILIER ,2,52
LA REGIE DES LOGES ,2,54
LA REGIE PARISIENNE DE L'IMMOBILIER ,2,146
LEHMANN-IMMOBILIER ,2,66
LES HAUTS DE NARBONNE ,2,27
JUST ONE SYNDIC ,2,51
JVIMCOACH ,2,198
KAIROS GESTION CONSEIL ,2,70
LOT CENT ,2,57
LOTIER ,2,135
AGENCE NOTRE DAME ,2,68
REPUBLIQUE IMMOBILIERE SOC NVLE ,2,62
REGIE MARTINET ET ASSOCIES ,2,178
ANTILLES GESTION IMMOBLIERE ,2,96
APIS GESTION IMMOBILIERE ,2,72
AQUITAINE OCEAN ,2,203
AVERIMMO ,2,195
LLICO ,2,36
ASSOCIES EN GESTION IMMOBILIERE ,2,127
LIAISONS IMMOBILIERES ,2,132
JURI GESTION ,2,132
AGENCE IMMOBILIER SAINTE MARIE ,2,72
AGENCE MATRAY SARL ,2,32
CABINET VAVAK IMMOBILIER ,2,124
CABINET PARISEL ,2,65
SYNTIMMO ,2,87
T2 IMMO ,2,63
AVJ IMMOBILIER ,2,78
LOGIAL-COOP ,2,44
AGENCE SUDCOPRO ,2,171
GESTION IMMOBILIERE BERTRAND PETIT ,2,93
FONCIA ALSACE HAUT-RHIN ,2,61
SARL AGENCE DE BARDONNECHE GASPARINI IMMOBILIER ,2,27
SARL AGENCE DU GOLFE ,2,42
SARL BOISSON-LERAY ,2,115
SANIMMO ,2,22
CABINET DOMI-SILE ,2,85
CABINET LEFEVRE ET DUCHARME ,2,83
DAUMESNIL & CIE IMMOBILIER ,2,53
DE TOIT EN TOIT ,2,20
DEFI CONSEIL IMMOBILIER ,2,43
"DELCROIX-RIEGER JUSTINE, EN ABREGE D.R.J ",2,35
DELON SYNDIC DE COPROPRIETE ,2,104
DELPHIMMOBILIER GESTION ,2,134
SOC CAP AGENCE ,2,175
OLAM PATRIMOINE ,2,125
IMMOBILIERE BARTOLUCI STEPHANE - IBS ,2,119
IMMOBILIERE BAYEN ,2,88
IMMOBILIERE BERNARD HELME ,2,268
OEFE IMMO ,2,73
DENIAUD BRION IMMOBILIER ,2,343
DES ARCADES ,2,93
CABINET LE CORRE ,2,121
ND DE PROVENCE ,2,143
NEOWI GESTION ,2,317
ALPHA IMMO TOURAINE ,2,58
ALTIS PRESTIGE ,2,321
OMNIUM SERVICES IMMOBILIERS ,2,107
ALEXANDRE LAMBERT IMMOBILIER ,2,23
ALIZE SQUARE GESTION ,2,89
OISE HABITAT - OFFICE PUBLIC DE L'HABITAT DES COMMUNES DE L'OISE ,2,58
O.S.D. GESTION E CONSEIL EN IMMOBILIER ,2,86
BOCQUET DES GARETS ET CHASTEL ,2,100
BOHN*JEAN- BAPTISTE BENOIT/ ,2,20
NEW COPRO ,2,54
NG IMMOBILIER ,2,72
NICOLAS JUFFORGUES ADMINISTRATEUR DE BIENS OU CABINET JUFFORGUES ,2,105
NOUVELLE GESTION DU GOLFE N.G.G. ,2,261
NBGI ,2,135
COUDRE DEBES ,2,284
BISDORFF COPROPRIETE ,2,154
BOUMANN IMMOBILIER ,2,142
IMMO DU FOREZ ,2,103
BELLISS'IMMO ,2,37
IDZ GESTION ,2,65
OPH DE LA HAUTE-LOIRE ,2,35
DOMITERRA ,2,87
MY SYNDIC BOUCHAOUR ,2,138
BARASSIN IMMOBILIER ,2,109
MON PETIT SYNDIC ,2,17
MON SYNDIC IMMOBILIER ,2,15
CPL IMMOBILIER ,2,78
D. NARDI GESTIONNAIRE IMMOBILIER ,2,39
D.B. IMMOBILIER ,2,101
AGENCE ALPHA SARL ,2,41
IMMOBILIERE NOVALIS ,2,49
IMMOBILIERE SAINT-GEORGES ,2,234
N&H ,2,258
N.G IMMOBILIER ,2,41
IMMOBILIERE CLAIRE OLLAND ,2,26
IMMOBILIERE DE LA PAIX ,2,36
IMMOBILIERE DES COMPTOIRS ,2,36
MORLAAS IMMOBILIER ,2,56
SOC COOPERATIVE DEPAR HLM GERS ,2,112
AGENCE DE GESTION SYNDIC LOCALE ,2,80
AGENCE DE LA PLAGE ,2,65
SO NICE ,2,72
BERYL IMMOBILIER ,2,73
AGENCE BELLEVILLE ,2,17
AGENCE BOURGOGNE ,2,39
IMMOBILIERE DU GOLFE DE SAINT TROPEZ ,2,71
SOCIETE INVESTIMO ,2,66
SOCIETE M ET J-M THOMAS ,2,25
SOCIETE MULHOUSIENNE DES CITES OUVRIERES ,2,210
DADE IMMO ,2,32
PAGASBELL ,2,42
PARIS ETOILE GESTION ,2,69
HASTINGS BARRE ADMINISTRATEUR DE BIENS ,2,95
IDEA SYNDIC ,2,16
J.S SYNDIC ,2,170
CABINET MATTHIAS ADMINISTRATION DE BIENS ,2,117
CABINET MAURY-SCHWOB ,2,199
CABINET MELIAVA ,2,21
SOGEA ,2,50
SOGEA SOC GEST ADMINIST IMMEUB ,2,106
COP IMMO ,2,127
COPRO - ETHIK ,2,90
IMMORBIHAN ,2,63
B.D.G.I ,2,49
MOLE IMMOBILIER ,2,64
IMMOBLEY ,2,456
IMMOGEST 92 ,2,52
ANIC DIOT ET COMPAGNIE ,2,56
INVESTISSEMENTS & SERVICES IMMOBILIERS ,2,69
IRIA IMMOBILIER ,2,160
DIAKITE GESTION IMMOBILIERE ,2,62
SIMON TANAY DE KAENEL ,2,54
AGENCE BRIANCON IMMO ,2,45
CABINET LUCIEN CROUZET ET SYDNEY BREIL ,2,222
SELAS AJ UP ,2,89
HELIAS - D'AGOSTINO ,2,132
HESTIA CP IMMO ,2,41
IMMOLAC BORDEAUX ,2,696
CABINET KCGR ,2,162
AGENCE DU PARC ,2,185
CABINET IMMOBILIER RIFFIOD ,2,51
CABINET IMMOBILIER ROBERT RIGUET ,2,269
AGENCE DES ALPES A.N. ,2,66
AGENCE DES THERMES ,2,242
SAS BLANKENBERG JOBARD ,2,238
SAS GNC GESTION ET SYNDIC ,2,36
AIXENCOPRO ,2,154
AJ ,2,112
AJOA IMMOBILIER ET GESTION ,2,33
PHILIPPE POSTIC SAS ,2,74
HOME DE FRANCE ,2,45
HOME SYNDIC ,2,24
BONNEFOND ET ASSOCIES ,2,48
PELUCHI IMMOBILIER ,2,126
SEIFIC-PIERGUI ,2,32
ENTR'ACTE ,2,60
AGENCE DUMAS ,2,35
SAS OMMIO ,2,45
ALBA OUEST ,2,90
POSITIVV ,2,100
PRAGMATIK ,2,54
AIME CONSEIL ,2,87
OPTIVIMMO ,2,53
OUTREBON IMMOBILIER ,2,34
BRUYER SOKOL IMMOBILIER ,2,127
ECOSYNDIC ,2,46
DUCLOSSON*THIERRY ANDRE/ ,2,20
DUHARD IMMOBILIER ,2,272
DWELLING ,2,179
SDF DUMOULIN LAUNAY ,2,44
PROACTIVE IMMO ,2,88
EURL FOURNEL ,2,71
EURL L'IMMOBILIERE STEPHANOISE ,2,49
EURL LARIVIERE IMMOBILIER ,2,47
EXPO SUD ,2,37
SAS AVRAIN REMI ,2,110
SARL SERRES IMMOBILIER ,2,214
SARL VAL 60 ,2,23
SPRIMBARTH CAP CARAIBES ,2,44
CABINET MOISON ,2,352
SOLANOCTE ,2,44
GUEDON IMMOBILIER ,2,35
RANCOUR IMMOBILIER ,2,334
GROUPE LRDI ,2,47
C2 IMMO ,2,70
GRENIER*JEAN BAPTISTE/ ,2,40
METIER IMMOBILIER ,2,138
MAYOTTE BUREAU D'ETUDES ,2,91
COJEST ,2,92
CONCORDE GESTION ,2,137
ADICIS IMMOBILIER ,2,86
CO.GE.CO COOP GESTION ET CONSTRUCTION ,2,237
SOMAFE ,2,108
SOUPLET LARCHER ,2,139
ADMINISTRER...AUTREMENT ,2,98
INGENCIA ,2,33
INNOVIMMO STRASBOURG ,2,149
INTER CENTRE SYNDIC ,2,58
AML IMMOBILIER GESTION SYNDIC ,2,95
BATIMENT SOLUTIONS ,2,134
BEAL PERE ET FILS ,2,101
BEAUX PROJETS ,2,39
ADUXIM ,2,136
ADMINISTRATION DE BIENS DU GRAND LYON ,2,80
SARL ICI ET MAINTENANT ,2,32
SARL IMMOBILIS ,2,95
GESTION EUROPE ,2,196
GESTION EXPERTISE FONCIERE IMMOBILIERE ,2,112
GRAND SUD IMMOBILIER GESTION ,2,84
BUGEY IMMOBILIER ,2,62
MAGENTA GESTION ,2,67
CABINET R.TRAVERSO ,2,49
CABINET RIVIERE ,2,41
CITYA TULLE ,2,113
CITYA VALENCE ,2,106
CABINET PERSONNE ,2,158
ADOMINIUM ,2,21
ADRICIE GESTION SARL ,2,65
MAINE GESTION ,2,124
MARCILLE IMMOBILIER ,2,51
MARSEILLE SYNDIC BVE ,2,220
MAVI IMMOBILIER ,2,30
JBC IMMOBILIER ,2,33
AUGUST IMMOBILIER ,2,82
AUREA ,2,73
MACON HABITAT OFFICE PUBLIC DE L'HABITAT DE MACONNAIS BEAUJOLAIS AGGLOMERATION ,2,74
ESPANDI ,2,119
ESQUISSE GESTION ,2,216
SARL LA GRIVE IMMOBILIER GA ,2,55
SARL PROFESSIONS IMMOBILIERES ,2,100
FHB ,2,145
JDOR ,2,47
JEAN ROMPTEAUX SA ,2,85
JIAC ,2,82
CLEMENT TOURON ET COMPAGNIE ,2,59
JOP ,2,105
JP CONSEILS IMMO ,2,61
SARL GILLES - DURAND ,2,40
GESTION DU GRAND VAL ,2,39
GESTION ET SELECTION IMMOBILIERE ,2,187
CAB-IMMO ,2,27
CABINET A & G ,2,171
CABINET SEINE GESTION LE HAVRE ,2,105
CABINET SIBELLA ET ASSOCIES ,2,71
CABINET STEIN LA COPROPRIETE ,2,89
CABINET TEMPLIER IMMOBILIER ,2,15
SYNDIC ET VOUS ,2,141
SYNDIC NEW CONCEPT ,2,20
SYNDIC 12 ,2,56
CK COPRO ,2,57
CABINET H.GESTION ET CONSEILS ,2,83
SARL CABINET ANDRE GUERBERT ,2,35
LP'IMMO ,2,57
M.D.P. SYNDIC ,2,58
ARNOULD IMMOBILIER ,2,76
ARP IMMO ,2,66
ARTPRIM-AJ IMMO ,2,238
LOGIM IDF ,2,87
BURNIER IMMOBILIER ANNECY ,2,45
BVGL ASSOCIES ,2,53
GIRONDE HABITAT OFFICE PUBLIC DE L'HABITAT (OPH) ,2,71
REFLET IMMOBILIER ,2,88
AGENCE PAYS D'ANDAINES ,2,33
FDM IMMO ,2,44
CABINET HUGUES DE LA VAISSIERE ,2,40
CABINET IMMOBILIER CATHERINE JOHNSON ,2,348
CETIM ,2,121
AAZ IMMOBILIER YONNAIS ,2,36
VINDICIS ,2,144
VOLCANIC IMMO ,2,56
VP CONSEILS ,2,34
W IMMOCOPRO ,2,521
136 GESTION ,2,71
LES PORTES DE L'EST ,2,40
VERDESSE IMMOBILIER ,2,200
TRZMIEL*DA COSTA/CAROLINE  / ,2,36
TRIMA ,2,110
CHALUNE IMMOBILIER ,2,68
CENTRE DE GESTION IMMOBILIERE ,2,103
CGIA CIE GEST IMMO ALPILLES ,2,97
A.X. STOULS ,2,159
CENTURY 21 SEICA ,2,44
AGENCE HYACINTHE IMMOBILIER ,2,22
S T E F A ,2,92
S&N IMMOBILIER ,2,28
S.T.B. GESTION - IMMO GESTION ,2,286
ROLAND*/SOPHIE STEPHANIE / ,2,78
ROSARA IMMO ,2,59
VENDEENNE IMMOBILIER MONTAGNE ,2,32
VEPRA REAL ESTATE ,2,26
AGENCE IMMOBILIERE ROHANNE ,2,52
AGENCE LA BISQUINE ,2,28
GAERTNER IMMOBILIER ,2,31
REGIE GINON ,2,146
CABINET AURIOL ,2,72
CABINET CONSEIL BREDOIS ,2,56
CABINET DE PIERREFEU ,2,111
CABINET DE QUENETAIN ,2,36
COURTES ERIDIA ,2,142
SOCIETE ANONYME EUGENE GAURIAU ET FILS ,2,38
SOCIETE BERTRAN IMMOBILIER ,2,84
SOCIETE DE GESTION ET D'ADMINISTRATION DE BIENS IMMOBILIERS - S.G.A.B.I. SIMSON ,2,254
AFR IMMOBILIER ,2,33
SOC PRESTATION GESTION IMMOBILIERE ,2,190
IMMO-DOM ,2,26
IMMOBILIER OCCITAN ,2,178
A2MIMMO ,2,54
UP SYNDIC ,2,130
V&D IMMOBILIER ,2,128
V.V.B IMMOBILIERE DE GESTION ,2,156
CHAVISSIMMO ,2,171
CIMMOP ,2,146
CITY IMMOBILIER ,2,220
VDS IMMOBILIER ,2,70
FONCIA VENDEE CENTRAL IMMOBILIER ,2,89
FONCIERE VENDOME ,2,138
RICHARDIERE ,2,48
VERSTRAET IMMO ,2,211
VG RENEWAL ,2,62
A.C.G.P- AGENCE CONSEIL GESTION PATRIMOINE ,2,79
VIGNERON IMMOBILIER ,2,53
A AXEL IMMOBILIER ,2,103
ATHANER IMMOBILIER ,2,52
CASTAN IMMOBILIER ,2,82
CAZABAT*CAPARROY/MARTINE/ ,2,16
CAN SYNDIC ,2,65
TALENTIS IMMO ,2,102
