nom_syndic,nb_immeubles_cibles,total_places_parking
IFF GESTION ,36,2054
CITYA CLERMONT FERRAND ,36,1272
FONCIA VAL DE LOIRE ,36,1166
CITYA DURIVAUD ,35,2131
AVELIM ,35,2314
null ,35,1710
BOURNEIX-MENUET IMMOBILIER ,35,1398
SICOV ,35,1832
FONCIERE DE LA MARNE ,35,2136
CABINET GUEMENE ,35,1053
IMMOVAL ,35,2137
CITYA IMMOBILIER LA ROCHELLE ,35,1402
IMMOBILIERE TRADITION ALSACE ,35,932
CTRE REGIONAL INFORMATION IMMOBILIERE ,35,1746
G I T ,35,1662
GRATADE ,35,3107
CITYA L'HORLOGE ,35,2347
CITYA REPUBLIQUE ,35,2262
AVENIR IMMOBILIER ,35,1359
CITYA BELVIA BORDEAUX ,34,2200
CITYA GESSY VERNE IMMOBILIER ,34,3017
TRADIGESTION IMMOBILIER ,34,1387
MIDI HABITAT -ADB ,34,2398
JEAN ET PHILIPPE DIEU ADMINISTRATION DE BIENS ,34,2464
INTESA ,34,2696
CABINET MASSON ET CIE ,34,2520
LA CHENAIE IMMOBILIER ,34,987
SASIK ,34,1269
CABINET IMMOBILIER CABAY ,34,952
GERIMMO ,34,2560
AGENCE CONSEIL OXO GESTION ,34,1949
SOCIETE CATALANE DE GESTION ,34,1769
BUET IMMOBILIER ,34,1330
A.G.T. IMMOBILIER ,33,1490
ACTIA CONCEPT ,33,2258
SOCIETE AQUITAINE DE GESTION ,33,2178
CABINET TERRIER ,33,1588
REGIE GASC BATTISTELLA IMMOBILIER ,33,1247
GERIMALP ,33,2303
QUADRAL PROPERTY ,33,1830
REGIE IMMOBILIERE DE VIENNE ,33,1009
CABINET SCHEUER ,33,958
CABINET SAUVAGE GESTION ,33,1983
SOMATRIM SOC MARI ADMIN TRANS ,33,2385
IMMO DE FRANCE VALRIM ,33,1041
MASSET FRERES ,33,1752
REGIE EMERY ,33,1179
CREDIT AGRICOLE AQUITAINE AGENCE IMMOBILIERE ,33,1292
FRANCHET ET COMPAGNIE ,33,1505
AGENCE CATHERINE IMMOBILIER ,32,1020
AGENCE IMMOBILIERE BAUMANN ,32,904
COUDRAY LORRAINE ,32,1037
PIVETEAU IMMOBILIER ,32,982
AJC IMMOBILIER LA ROCHELLE ,32,1606
IMMO DE FRANCE VALRIM NORD ,32,986
CITYA IMMOBILIER LE SYNDIC ,32,2072
MON SYNDIC ,32,2261
CITYA LES CARMES ,32,2215
LOCATION GESTION SYNDIC D IMMEUBLES ,31,1073
SYNDIA ,31,2939
VITRY ,31,1302
MD CONSEIL IMMO ,31,1777
ABAQUE GESTION ,31,1234
CABINET TARDY ,31,1125
L2CA ,31,2205
I-MOBILIA ,31,1806
CREDIT AGRICOLE CENTRE EST IMMOBILIER ,31,1738
REGIE FRANCOIS GOFFIN ,31,1595
AGENCE IMMOBILIERE DES 3 ROIS ,31,1194
DURAND IMMOBILIER ,31,2624
SARL LEGENDRE ,31,969
EULHIA ,31,2576
COURTES ALIS ,31,1755
CABINET PRECLAIRE ,31,1908
STEPHANE THOMAS IMMOBILIER ,31,2517
BLB IMMOBILIER - TEMIC ,31,2190
COPRO IMMOBILIER ,31,1633
IMMOBILIER MAURICE GARCIN ,31,1776
IMMO M ,31,1335
CITYA FREJUS ,30,2359
CITYA DESCAMPIAUX VAUBAN ,30,1854
CITYA DUCS DE BOURGOGNE ,30,1356
4 IMMO ,30,1244
FONCIA ANJOU MAINE ,30,1426
SARL OCEAN AQUITAINE ,30,971
AGESTYS ,30,1373
SOC DE GESTION DES LOGEMENTS MODERNES ,30,1937
DE MAISON PIERRE TOURNIOL ,30,1182
AGENCE GHIBAUDO ,30,1370
SA CHAMPENOISE CONSTRUCTIONS LOGEMENTS ,30,1773
CABINET CHARBONNIER ,30,992
CABINET PATRICIA &FABRICE DEAN ,30,1757
CITYA URBANIA DIJON ,30,2053
CL CONSEILS ,30,1872
CITYA HOREAU COUFFON ,30,2039
BITZ IMMOBILIER SARL ,30,825
IMMO DE FRANCE NORMANDIE ,30,1223
COMPAGNIE DE GESTION FONCIERE ,30,1425
CITYA IMMOBILIER ANDREOLETY ,30,1314
AMJ IMMOBILIER ,30,1817
LAUREDANA IMMOBILIER ,30,1858
VERNIER ,30,1508
DM GESTION ,29,1604
CABINET LACABE ,29,1346
ANCIEN CABINET PONS ET BOURDIN ,29,1606
MAISON BSR ,29,1432
Y.S.IMMOBILIER SA ,29,1056
SMI SMG SAINT-MARC IMMOBILIER SAINT-MARC GESTION ,29,1463
LE POINT IMMOBILIER ,29,1900
CETARA ,29,1077
VACHERAND IMMOBILIER FLANDRES-LYS ,29,1982
NEYRET GESTION IMMOBILIERE ,29,1419
FONCIERE LELIEVRE ,29,1252
NORMANDIE SEINE IMMOBILIER ,29,2003
CLEMENCE IMMOBILIER ,29,1689
CITYA MONTCHALIN ,29,1130
REGIE IMMOBILIERE PONDEVAUX ,29,1260
CITYA IMMOBILIER SGTI ,29,1834
CITYA LES REMPARTS ,29,1158
CITYA COGESIM ,29,1915
B2DIMMO ,29,1266
GIMCOVERMEILLE AGENCE DE LA GARE ,29,2241
CITYA IMMOBILIER TOULOUSE ,28,2224
REGIE RHODANIENNE ,28,786
SARL CELAM ,28,1126
ELITE SYNDIC IMMO ,28,840
DOMOFRANCE ,28,1782
LOGE IMMOBILIER ,28,1300
AF GESTION LYON 2 ,28,2028
IMMOBILIERE BOYER ,28,1041
PRIVATE SYNDIC ,28,824
CABINET CADOT-BEAUPLET ,28,1961
IMMOBILIERE DU DOUAISIS ,28,1416
ALLIADE HABITAT ,28,1447
URBANIA SEINE ET MARNE ,28,2204
IVV ,28,1117
CABINET HERBETH ,28,877
L'IMMOBILIER DU BASSIN GENEVOIS IBG ,28,2700
SQUARE HABITAT ATLANTIQUE VENDEE ,28,1545
AMI ILE DE FRANCE ,28,1522
ATRIUM GESTION PARIS 17 ,28,4468
POZZO GESTION CALVADOS ,27,1131
CABINET CADORET IMMOBILIER ,27,1207
CABINET HUGUES VARTANIAN ,27,1013
KALEA SYNDIC ,27,991
AGENCE OLIVIER ,27,807
SOCIETE ORFILA DE GESTION IMMOBILIERE ,27,2476
CABINET BROSSET ,27,1158
GE CO SOL SUD AQUITAINE ,27,1716
LAPIERRE DES DEUX RIVES ,27,1416
SL IMMOBILIER ,27,2622
AGENCE BIZEUL ,27,915
PHILIPPE MATHIEU & ASSOCIES ,27,1746
IM. VALORIS ,27,1523
BANDOL IMMOBILIER TRANSACTIONS ,27,1722
MOUTON ET CIE ,27,1945
GRAND 10 IMMO ,27,2681
COFEGI GESTION ,27,1794
CONNECTA IMMOBILIER ,27,1520
TOP GESTION ,27,898
TYCOP ,27,774
CITYA RAMBOUILLET ,27,1713
LEFEUVRE SYNDIC DE COPROPRIETE ,27,1731
CITYA FLAUBERT ,27,1479
URBANIA VAL D OUEST ,27,2257
SOCIETE DE GERANCES ET D'ASSURANCES ,27,1549
VACHERAND IMMOBILIER DUNKERQUE ,27,949
SAGIREC ,27,1764
OSIRIS GESTION ,27,1318
CABINET MAUREL ,27,1482
CABINET DUBOIS - DU PORTAL S.A. ,27,1552
FONCIA CENTRE VAL DE LOIRE ,27,1144
CABINET MOLINIER ,27,1228
GESTION MEDITERRANEE ,26,1891
SARL AGENCE DU KREISKER ,26,703
AUDRAS ET DELAUNOIS ,26,1454
LA MEDITERRANEENNE DE GESTION ,26,2645
ISTRATEGIE IMMO ,26,1335
SQUARE & HASHFORD ,26,1642
LNA ,26,1284
ANDERNOS ARCACHON GESTION SYNDIC ,26,1099
DOMICIMM ,26,1893
CITYA BELVIA MONTPELLIER ,26,1329
NEOSYNDIC ,26,2260
SYNDIC HORIZON ,26,1629
GRAND DELTA HABITAT ,26,1523
CITYA SAINT DENIS ,26,1802
LEA SYNDIC ,26,334
TOQUET IMMOBILIER ,26,715
CABINET PINERI-SYNDIC ,26,1454
CITYA RIVE GAUCHE ,26,1371
MONT BLANC IMMOBILIER ADMINISTRATION DE BIENS ,26,1050
AGENCE 34 IMMOBILIER ,26,1571
GESTION IMMOBILIERE VARAGNAT ,26,853
CABINET AJOA GESTION ,26,905
SO SYNDIC LE SYNDIC D'UN TERRITOIRE SOLIDAIRE ,26,1341
CLARDIM ,26,1511
REGIE SIMONNEAU ,26,1296
CABINET GAILLARD ,26,851
CITYA VALP'IMMO ,26,1321
CITYA AGEN ,25,1149
SARL CARRE-IMMO ,25,1966
DESRUE IMMOBILIER ,25,924
ABSOLUTE HABITAT ,25,2371
VRIGNAUD & BIRON ,25,1428
IMMIUM GESTION ALSACE ,25,1272
AGIR ADMINISTRATIONS DE BIENS ,25,1071
C2L ,25,1310
CABINET PECOUL ,25,1376
GILBERT PIERRE IMMOBILIER ,25,1347
SYNDIL ,25,2203
CAP ,25,1122
SYNDICEO ,25,1907
CITYA COTE FLEURIE ,25,2325
CITYA SAINTE VICTOIRE ,25,1261
AE2C SYNDIC ,25,1657
CRIC ,25,1048
REGIE D'IMMEUBLES NEYRAT ,25,995
FINACTIS ,25,1721
FONCIA AD IMMOBILIER ,25,1295
GERIMM ,25,1511
REGIE COGESTRIM ,25,1451
SOC DE GESTION STRASBOURGEOISE ,25,1148
GIBERT IMMOBILIER ,25,720
CITYCEO ,25,1621
HEURTEVENT P.E. ,25,1205
BONNABELLE ET CIE ,25,802
AGENCE ATURRI ,25,989
SARL VESTALIA IMMO ,24,1115
DELIGNY ET COMPAGNIE ,24,1124
L'IMMOBILIERE DE L'ILE ,24,1351
CITYA SOGEMA ,24,1789
CITYA IMMOBILIER ATLANTIS ,24,1682
CENTRAL IMMOBILIER ,24,425
AQUIGESTION ,24,1690
CA NORMANDIE IMMOBILIER ,24,740
IMMO DE FRANCE - AIN ,24,1143
AGT'IM ,24,671
A2C IMMO ,24,2009
LACOMBE IMMOBILIER ,24,2171
VERTFONCIE ,24,1623
CITYA BELVIA MONTAUBAN ,24,1557
DETROIS IMMOBILIER ,24,1039
ARNAUD IMMOBILIER SARL ,24,531
FLOR'IMMO ,24,1025
IMMOBILIER CONSEIL DEBEVER ,24,987
FONCIA GRESIVAUDAN ,24,711
REGIE BAGNERES ET LEPINE ,24,1209
CABINET BEDIN ,24,1464
COPRAGIM ,24,961
COMPAGNIE EUROPEENNE DE GESTION IMMOBILIERE ,24,1564
CABINET ROUGEAU SARL ,24,762
NCA ,24,1864
B&H IMMOBILIER ,24,764
CABINET PETRUCCI CONVERT ,24,941
EXA-GESTION ,23,715
VILOGIA PREMIUM  S.A. COOPERATIVE DE PRODUCTION D'HLM A CAPITAL VARIABLE ,23,1380
EXP DES ETS MAXIME BREUGNE IMMOBILIER ,23,762
2ASC IMMOBILIER ,23,1612
CITYA BARIOZ IMMOBILIER ,23,1220
ERILIA ,23,2170
CABINET IMMOBILIER RIVET-LENOBLE ,23,1562
CABINET JOEL PIZY ,23,1116
